project_name,project_description,project_type,project_manager,region,department,project_cost,project_benefit,complexity,status,completion%,phase,year,month,start_date,end_date,planned_cost,actual_cost,fte_reduction,avg_salary,cost_variance,cost_variance_pct,fte_savings,roi_pct,roi_norm,fte_norm,variance_norm,portfolio_score,priority_rank
Rhinestone,Associations Now Is A Casual Game To Teach You How .Io Algorithmically Creates Content For You. It Is The World First Game For Content Marketing Education. Find Out How Your Topic Is Used In The Wild.,INCOME GENERATION,Yael Wilcox,North,retail_banking," 3,648,615.00 "," 8,443,980.00 ",High,In - Progress,77%,Phase 4 - Implement,2021,2,2/1/2021,6/1/2021,2645928,2557793.705770534,1,95005.38461538461,88134.294229466,3.33,95005.38,3.71,0.05124309392265193,0.22282988007623167,0.19249116872807095,0.145,57.0
A Triumph Of Softwares,Is A Fully Managed Content Marketing Software Deal For Saas Companies Who Want To Focus On Their Customers And The Big Idea In 2018.,INCOME GENERATION,Brenda Chandler,West,marketing," 4,018,835.00 "," 9,012,225.00 ",High,Cancelled,80%,Phase 2 - Develop,2021,3,3/1/2021,6/1/2021,2538566,2288335.0556201525,3,101049.38271604938,250230.9443798475,9.86,303148.15,13.25,0.1830110497237569,0.711017269862312,0.5465210490050305,0.45,19.0
The Blue Bird,"Most Content Marketers Know The Golden Rule: You Must Put Quality Content First. Is A Solution For Founders Who Want To Win At Content Marketing, And It Helps You Create Content Faster With State Of The Art Ai Generation. Our Proprietary Ai Analyzes The Content Of Your Competitors And Helps You Generate Optimized Content Faster.",INCOME GENERATION,Nyasia Hunter,North,it," 4,285,483.00 "," 9,078,339.00 ",High,Completed,100%,Phase 4 - Implement,2021,3,3/1/2021,6/1/2021,2163716,2030396.5277547888,2,96917.80821917808,133319.47224521125,6.16,193835.62,9.55,0.1319060773480663,0.4546307583749679,0.2911786070456835,0.277,44.0
Remembering Our Ancestors,"Utilize And Utilizes (Verb Form) The Open, Inclusive, And Uncontrollable Content Marketplace To Make Your Brand The Top Content Site For Your Topic.",PROCESS IMPROVEMENT,Brenda Chandler,East,marketing," 5,285,864.00 "," 8,719,006.00 ",High,Cancelled,75%,Phase 5 - Measure,2021,3,3/1/2021,6/1/2021,2571787,2409306.87079946,3,101049.38271604938,162480.12920054002,6.32,303148.15,12.58,0.17375690607734806,0.711017269862312,0.354867424063894,0.389,27.0
Skyhawks,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,East,marketing," 5,785,601.00 "," 8,630,148.00 ",High,Completed,100%,Phase 1 - Explore,2021,3,3/1/2021,6/1/2021,852620,836325.6258513324,2,101049.38271604938,16294.374148667557,1.91,202098.77,24.17,0.33383977900552486,0.47401152105969074,0.03558799841754277,0.286,40.0
The Coding Master,"Association Now Operates Like An Ai Editor, Working Invisibly Behind The Scenes To Help Brands Create Optimized Content. Associations Now Ai Platform Analyzes The Competition For Your Topic. When Your Ai Content Is Complete, It’S Custom-Printed, Personalized, And Delivered To Your Audience.",PROCESS IMPROVEMENT,Nyasia Hunter,West,credit_risk," 3,326,031.00 "," 8,504,224.00 ",Medium,In - Progress,77%,Phase 3 - Plan,2021,3,3/1/2021,6/1/2021,1529798,1277925.8972747743,1,102085.42007590266,251872.10272522573,16.46,102085.42,7.99,0.11035911602209944,0.23943572349409833,0.5501054481396873,0.281,43.0
"Fierce, Inc.","While Traditional Marketing Approaches Have Never Been More Expensive, Is A Solution For Founders Who Want To Win At Content Marketing. Our Team Of Experienced Marketers Has Created A Proprietary Algorithm, Which Is Continuously Learned And Improved.",COST REDUCTION,Brenda Chandler,North,it," 4,557,606.00 "," 9,014,448.00 ",High,Completed,100%,Phase 5 - Measure,2021,4,4/1/2021,7/1/2021,1613568,1768676.4965660267,0,96917.80821917808,-155108.4965660267,-9.61,0.0,0.0,0.0,0.0,-0.338767287407021,-0.102,96.0
Mo-Money Masterclass,Associations Now Helps It Departments And Association Leaders Stay Ahead Of The Cyber-Threat Tidal Wave With Customized Security Solutions And Cybersecurity Strategies. Our Customers Include Is The Boards Of Governors Of The Most Famous And Influential Associations In The World.​​,WORKING CAPITAL IMPROVEMENT,Yael Wilcox,West,retail_banking," 3,190,009.00 "," 8,674,613.00 ",High,Completed,100%,Phase 1 - Explore,2021,4,4/1/2021,7/1/2021,2329405,2393914.9555028863,0,95005.38461538461,-64509.955502886325,-2.77,0.0,0.0,0.0,0.0,-0.1408940394645477,-0.042,92.0
Town Hall Meeting,"Was Founded By A Group Of Marketers Who Were Tired Of Relying On Content Creation Scripts And Templates, And Wanted To Run A Business With The Perfect Balance Of Creativity And Efficiency. We Believe That Automation Is The Key To Optimizing The Way We Create And Consume Content And We Want To Give Founders And Marketers The Same Tools We Use To Scale Our Own Content Marketing Efforts.",COST REDUCTION,Nyasia Hunter,North,retail_banking," 3,442,649.00 "," 9,070,797.00 ",Low,Completed,100%,Phase 2 - Develop,2021,5,5/1/2021,8/1/2021,1093852,1292516.4628922315,2,95005.38461538461,-198664.46289223153,-18.16,190010.77,14.7,0.20303867403314915,0.4456597836069119,-0.4338964188820263,0.085,70.0
Yosemite,You Are Leading Upstart On A Journey To Build Your Company. That Where The Journey Ends. Let Get You Over The Hump. We Are Just Two Industry Veterans Busy Building Our Own Company. We Know What It Like.,WORKING CAPITAL IMPROVEMENT,Kamari Norris,South,marketing," 3,475,275.00 "," 8,994,585.00 ",Low,On - Hold,90%,Phase 4 - Implement,2021,5,5/1/2021,8/1/2021,824956,855110.7651045509,0,101049.38271604938,-30154.76510455087,-3.66,0.0,0.0,0.0,0.0,-0.06586001542807858,-0.02,89.0
Disruptor Training,"Associations Now Provides A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. Our Easy-To-Use Platform Makes It Easy Setup, Test, And Publish Content For Your Business.",INCOME GENERATION,Yael Wilcox,South,it," 3,508,173.00 "," 8,762,992.00 ",High,On - Hold,75%,Phase 5 - Measure,2021,5,5/1/2021,8/1/2021,1523009,1284261.7919968546,0,96917.80821917808,238747.2080031454,15.68,0.0,0.0,0.0,0.0,0.5214398038910553,0.156,54.0
A Salute To New Workers,"Every Year, Entrepreneurs And Startups Write Thousands Of Blog Posts And Press Releases. Those Who Succeed See Their Search Traffic And Revenue Skyrocket, While Those Who Fail Either Give Up Or Waste Tons Of Time And Money. Enables You To Run Ahead Of The Competition By Optimizing Content, And Generating Content For You At Scale.",WORKING CAPITAL IMPROVEMENT,Aleena Khan,West,retail_banking," 2,534,102.00 "," 9,072,551.00 ",Medium,In - Progress,93%,Phase 3 - Plan,2021,5,5/1/2021,8/1/2021,1762112,1484608.2079384034,1,95005.38461538461,277503.79206159664,15.75,95005.38,6.4,0.08839779005524862,0.22282988007623167,0.6060867648333578,0.284,41.0
Robust Routine,"In A Space Where A Huge Space For Play Is Created, Market Leaders Can Easily Die Out. To Maintain A Competitive Edge, You Need Marketing Trends That Help You Grow Your Audience, Grow Your Brand, And Grow Your Bottom Line. Associations Now Is The Marketing Tool Of Choice For Founders Who Want To Win.",PROCESS IMPROVEMENT,Yael Wilcox,South,operations," 5,130,016.00 "," 9,165,877.00 ",Low,Cancelled,73%,Phase 4 - Implement,2021,5,5/1/2021,8/1/2021,1614461,1686466.575012262,3,106589.58665625953,-72005.57501226198,-4.46,319768.76,18.96,0.261878453038674,0.749999994136388,-0.15726497171419024,0.283,42.0
Passion Chasers,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. Technology \N \N Ai-Powered Content Management System For Cmos",COST REDUCTION,Brenda Chandler,South,operations," 5,953,512.00 "," 8,586,905.00 ",Medium,Cancelled,89%,Phase 2 - Develop,2021,6,6/1/2021,9/1/2021,2401551,2368695.5227615177,0,106589.58665625953,32855.47723848233,1.37,0.0,0.0,0.0,0.0,0.07175855060786951,0.022,84.0
Switch And Swift,"We Do All The Content For You, And We'Re Obsessively Committed To Making Sure You Win. We'Re Like A Startup In A Big Company.",PROCESS IMPROVEMENT,Deacon Delacruz,North,credit_risk," 4,170,710.00 "," 8,848,636.00 ",High,Cancelled,72%,Phase 5 - Measure,2021,6,6/1/2021,9/1/2021,662504,646787.000088657,4,102085.42007590266,15716.99991134298,2.37,408341.68,63.13,0.8719613259668508,0.9577428939763933,0.03432697462756693,0.646,2.0
The Guy With Codes,"Is A Platform That Helps You Generate Scalable Content That Converts. ’S Ai Engine Allows You To Create Content That Will Outperform Competitors, Build Brand Awareness, And Maximize Conversions.",WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,South,marketing," 3,472,986.00 "," 9,125,362.00 ",Medium,Completed,100%,Phase 4 - Implement,2021,7,7/1/2021,10/1/2021,2593867,2513309.624476522,3,101049.38271604938,80557.3755234778,3.11,303148.15,12.06,0.16657458563535912,0.711017269862312,0.1759426736181432,0.333,32.0
Hex Clan,"Allows Founders To Focus On What’S Important, Namely Their Core Business. Ai Takes The Work Out Of Determining Who Should Win The Content Marketing Battle, While ’S Proprietary Technology Help Founders Speed Their Content Production By Identifying Actionable Insights From Content Analysis.",PROCESS IMPROVEMENT,Jaylyn Mckenzie,South,retail_banking," 3,478,794.00 "," 8,846,264.00 ",Medium,Cancelled,82%,Phase 2 - Develop,2021,7,7/1/2021,10/1/2021,1123069,931173.7844309973,4,95005.38461538461,191895.21556900267,17.09,380021.54,40.81,0.5636740331491713,0.8913195672138238,0.4191119318665048,0.619,4.0
Limitless Horizons,Outside Offers A Solution For Founders Who Want To Win At Content Marketing—We Help You Create Optimized Content Faster And More Effectively With State Of The Art Ai Generation.,WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,South,credit_risk," 4,413,449.00 "," 8,547,257.00 ",High,Completed,100%,Phase 4 - Implement,2021,8,8/1/2021,11/1/2021,781852,879321.8605735813,1,102085.42007590266,-97469.8605735813,-12.47,102085.42,11.61,0.16035911602209943,0.23943572349409833,-0.2128806674133217,0.072,77.0
The Wonders Of Geek,"Is Superior At What It Does. One Examination Of Our Databases Shows Us That, On Average, Competitors Create Content An Average Of 10 Days Before Us. With Our Ai At Work, That Gap Shrs To 2 Days.",INCOME GENERATION,Kamari Norris,South,marketing," 3,440,225.00 "," 8,761,979.00 ",High,In - Progress,91%,Phase 3 - Plan,2021,9,9/1/2021,12/1/2021,1323862,1090293.7075132928,3,101049.38271604938,233568.2924867072,17.64,303148.15,27.8,0.38397790055248615,0.711017269862312,0.5101287074646447,0.52,15.0
Sputnik,"How Do Asos, Walmart, And Lululemon Do It? They Are All Wildly Successful Brands On The Internet Because They Are Constantly Pushing Out Content For Their Target Audience. However, With The Rise Of Ad Blockers, This Has Become Harder And Harder For The Average Internet Marketer To Achieve. Was Created To Provide An Answer! Uses Ai To Analyze The Competition For Your Topic And To Help You Create The Perfect Content Faster.",INCOME GENERATION,Kamari Norris,East,it," 2,900,355.00 "," 8,979,944.00 ",High,In - Progress,84%,Phase 1 - Explore,2021,10,10/1/2021,1/1/2022,2490304,2264061.6413398953,2,96917.80821917808,226242.35866010468,9.08,193835.62,8.56,0.11823204419889502,0.4546307583749679,0.4941283800479901,0.332,33.0
Annual Award Show,"’S Online Content Marketing Solution Gives Content Creators The Power To Create Optimized Content Faster. With Our Sophisticated Ai Technology, It Is Easy To Reach An Audience Of Relevant, Interested People Without Spending Endless Hours On Content Development.",PROCESS IMPROVEMENT,Aleena Khan,East,operations," 5,505,123.00 "," 9,088,011.00 ",High,Completed,100%,Phase 3 - Plan,2021,10,10/1/2021,1/1/2022,2645742,2902362.0965399765,3,106589.58665625953,-256620.09653997654,-9.7,319768.76,11.02,0.1522099447513812,0.749999994136388,-0.5604753828683354,0.118,63.0
Active Achievement,Helps Founders And Marketers Generate Better Topics And Content For Their Organization. We’Re A Software As A Service That Helps Organizations Compete Against Other Organizations By Leveraging Ai And Unique Algorithms To Provide Unique Points Of Differentiation And Competitive Edge.,INCOME GENERATION,Deacon Delacruz,North,retail_banking," 2,548,471.00 "," 9,025,609.00 ",Low,Cancelled,78%,Phase 5 - Measure,2021,11,11/1/2021,3/1/2022,832957,791355.8659312249,2,95005.38461538461,41601.13406877511,4.99,190010.77,24.01,0.33162983425414366,0.4456597836069119,0.09085964762436845,0.294,38.0
Static Startup,"If You Are Making Less Than $50,000 With Your Startup Company, You’Re In Luck. Companies Who Are Making Less Than That Are Eligible For The Associations Now Program. Associations Now Is An Algorithm That Helps Startups Find Niche Or Narrow Topics That Are Related To Your Industry Or Target Audience. It Is Like Word Of Mouth Marketing, But You Pay For It!",COST REDUCTION,Jaylyn Mckenzie,East,retail_banking," 5,869,643.00 "," 8,802,862.00 ",High,Completed,100%,Phase 3 - Plan,2021,12,12/1/2021,3/1/2022,2670738,2512874.536563236,0,95005.38461538461,157863.4634367642,5.91,0.0,0.0,0.0,0.0,0.3447843185456,0.103,64.5
The Successful Project,"Our Content Automation Is 100% Customizable--Creating High Quality Content, With Optimized Structure, That Is Shared Across All Social Media Channels. We Automatically Generate Content For You By Scanning The Sites Of Your Competition--Allowing You To Never Be Caught Off Guard Again. Additionally, Offers A Service That Will Help You Generate The Content For Your Site--So You Can Spend More Time Growing Your Brand, And Less Time On Content Creation.",WORKING CAPITAL IMPROVEMENT,Deacon Delacruz,East,operations," 5,974,815.00 "," 8,973,631.00 ",Low,Cancelled,86%,Phase 5 - Measure,2022,1,1/1/2022,5/1/2022,1483607,1743865.6622552897,2,106589.58665625953,-260258.66225528973,-17.54,213179.17,12.22,0.16878453038674032,0.49999998827277575,-0.5684222527350299,0.047,79.0
Excalibur Training,"Attention, Founders. We Automatically Generate Content For You By Scanning The Sites Of Your Competition--Allowing You To Never Be Caught Off Guard Again. Additionally, Offers A Service That Will Help You Generate The Content For Your Site--So You Can Spend More Time Growing Your Brand, And Less Time On Content Creation.",INCOME GENERATION,Brenda Chandler,West,credit_risk," 3,814,857.00 "," 8,529,903.00 ",Low,Cancelled,84%,Phase 5 - Measure,2022,2,2/1/2022,6/1/2022,1944689,2130432.918206136,2,102085.42007590266,-185743.9182061362,-9.55,204170.84,9.58,0.13232044198895027,0.47887144698819667,-0.40567708872259506,0.075,75.5
Enter Coding,"Registered As An Llc, Company Is Working To Match Your Brand With The Perfect Audience.",PROCESS IMPROVEMENT,Nyasia Hunter,South,it," 2,871,386.00 "," 8,694,563.00 ",Low,In - Progress,86%,Phase 2 - Develop,2022,3,3/1/2022,6/1/2022,944827,844586.0700343489,4,96917.80821917808,100240.92996565113,10.61,387671.23,45.9,0.6339779005524862,0.9092614932954872,0.2189328675309891,0.592,6.0
Code Poltergeists,"We Promised Our Founders A High-Quality Product, A Profitable Business, And A Successful Startup Dealing With A Hot Issue Or Pain Point. We Also Promised That Today’S Top Brand Content Marketers Would Have A Tough Time Beating Our Products. That’S Why We Created Incker, A Unique Ai Solution That Can Generate Content Your Audience Will Never Get Enough Of.",INCOME GENERATION,Aleena Khan,North,it," 3,201,907.00 "," 8,800,186.00 ",High,Cancelled,77%,Phase 4 - Implement,2022,3,3/1/2022,6/1/2022,2480014,2266456.4170089797,1,96917.80821917808,213557.5829910203,8.61,96917.81,4.28,0.05911602209944751,0.22731537918748396,0.4664239851249623,0.232,49.0
Great Leadership,"Is For Founders With Content Marketing On Their Minds. Imagine Being Able To Find Your Targeted Customer On Instagram In Seconds, Share Your Content On The Same Platform Automatically, And Then Use These Insights To Create New Metrics Based On Your Audience’S Engagement.",INCOME GENERATION,Aleena Khan,West,it," 5,609,775.00 "," 9,084,256.00 ",High,Completed,100%,Phase 3 - Plan,2022,4,4/1/2022,7/1/2022,2946859,2655211.2423290834,4,96917.80821917808,291647.7576709166,9.9,387671.23,14.6,0.2016574585635359,0.9092614932954872,0.6369781277743161,0.545,8.0
Charged By Codes,’S Marketing Solution Is Smart Marketing Software That Helps Founders Find Their Audience And Reach The Influencers That Could Launch Their Brand.,PROCESS IMPROVEMENT,Yael Wilcox,South,operations," 5,044,306.00 "," 8,752,182.00 ",Low,Completed,100%,Phase 1 - Explore,2022,4,4/1/2022,7/1/2022,808376,767222.0713528771,4,106589.58665625953,41153.92864712293,5.09,426358.35,55.57,0.7675414364640883,1.0,0.08988292119763572,0.634,3.0
Center For Creative Coding,"Intelligently Creates Seed Content For You With Immediate Impact, So You Can Spend Less Time On Content That Works. Uses Deep Understanding Of The Editorial Calendars Of The Most Influential Publishers In The World To Push The Right Content To The Right People. We Use Ai To Analyze Your Competitors, So You Can Begin To Dominate With Content Marketing.",PROCESS IMPROVEMENT,Yael Wilcox,North,retail_banking," 2,931,685.00 "," 8,971,678.00 ",Medium,On - Hold,77%,Phase 1 - Explore,2022,4,4/1/2022,7/1/2022,2776961,2984852.1251947484,2,95005.38461538461,-207891.1251947484,-7.49,190010.77,6.37,0.08798342541436463,0.4456597836069119,-0.45404806388693875,0.033,81.0
The Principal Of Change,"Is The Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Kamari Norris,North,operations," 3,730,999.00 "," 8,715,081.00 ",Medium,In - Progress,77%,Phase 1 - Explore,2022,4,4/1/2022,7/1/2022,1815783,2100379.5297972797,3,106589.58665625953,-284596.52979727974,-15.67,319768.76,15.22,0.21022099447513812,0.749999994136388,-0.6215777764555609,0.123,61.0
Orange Leaders,"Is A Solution For Brands And Bloggers To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help Create Optimized Content Faster, With State Of The Art Ai Generation. Unlike Machine Learning Which Takes Days For Results, Delivers Content In Less Than 2 Hours.",INCOME GENERATION,Aleena Khan,North,credit_risk," 4,502,248.00 "," 9,011,638.00 ",Medium,In - Progress,77%,Phase 5 - Measure,2022,5,5/1/2022,8/1/2022,1701093,1824360.6729425222,2,102085.42007590266,-123267.67294252221,-7.25,204170.84,11.19,0.15455801104972375,0.47887144698819667,-0.2692248078746483,0.125,59.0
